NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
CACHE RIVER NATIONAL WILDLIFE REFUGE  ,49.14077,81.50607,50.33966,11.24477,25.52345,16.27091,-0.013122899,-0.445793728,10.42886
CADDO LAKE NATIONAL WILDLIFE REFUGE  ,35.23356,64.75721,66.00718,41.28052,19.50099,38.27348,0.227086306,-0.112478003,8.097445
CAHABA RIVER NATIONAL WILDLIFE REFUGE  ,39.051,69.8083,65.1407,37.1082,12.57457,24.68125,0.375206795,-0.109336161,8.723835
CALOOSAHATCHEE NATIONAL WILDLIFE REFUGE  ,15.51853,30.89405,63.17916,45.65832,27.30144,36.13288,0.04394607,-0.000357427,3.726006
CAMAS NATIONAL WILDLIFE REFUGE  ,117.3305,151.9974,28.43184,67.35068,36.85711,33.78676,-0.274600341,0.128815244,9.49366
CAMERON PRAIRIE NATIONAL WILDLIFE REFUGE  ,22.19201,45.58073,31.99905,49.10512,28.57883,19.96725,-0.150023494,0.011885284,4.863883
CANAAN VALLEY NATIONAL WILDLIFE REFUGE  ,85.2113,116.6344,4.852315,1.083654,6.322062,0.2339455,-0.499897817,-0.834681697,6.444194
CANFIELD LAKE NATIONAL WILDLIFE REFUGE  ,109.6062,138.8473,3.592615,16.02212,7.631277,16.1679,-0.74779735,-0.444167056,9.101804
CAPE MAY NATIONAL WILDLIFE REFUGE  ,76.00772,110.1705,13.65978,1.730903,28.89227,1.837353,-0.713741095,-0.823397742,8.998686
CAPE MEARES NATIONAL WILDLIFE REFUGE  ,51.78333,106.1445,6.276363,18.99801,5.407663,19.95555,-1.886668901,-1.125102151,11.25027
CAPE ROMAIN NATIONAL WILDLIFE REFUGE  ,29.11971,56.29892,54.96612,44.60946,6.445198,35.39595,0.113672838,-0.064018989,6.15765
CAROLINA SANDHILLS NATIONAL WILDLIFE REFUGE  ,42.76261,74.77523,63.38162,32.55972,31.65282,41.58381,0.253807838,-0.244198075,8.523646
CASTLE ROCK NATIONAL WILDLIFE REFUGE  ,32.63887,68.44897,3.406926,16.10216,5.053223,10.7498,-0.660227386,-0.929607745,3.995247
CAT ISLAND NATIONAL WILDLIFE REFUGE  ,27.21215,53.8441,56.29416,60.32649,19.78286,16.89086,0.094515611,0.239246345,5.809256
CATAHOULA NATIONAL WILDLIFE REFUGE  ,30.67569,58.59163,67.6832,62.32945,15.40871,21.00831,0.336523397,0.306490746,6.98365
CEDAR ISLAND NATIONAL WILDLIFE REFUGE  ,37.08343,70.35567,54.50154,32.27295,29.40695,49.58475,0.086227381,-0.211307609,8.376785
CEDAR KEYS NATIONAL WILDLIFE REFUGE  ,21.23768,42.43631,51.81197,56.77199,25.2636,26.06153,0.022479517,0.037953971,5.118253
CEDAR POINT NATIONAL WILDLIFE REFUGE  ,92.73798,122.1802,2.124124,1.083654,2.020987,0.2339455,-0.896868965,-0.913520522,7.704225
CHARLES M. RUSSELL NATIONAL WILDLIFE REFUGE  ,101.0866,135.5191,10.49107,27.26358,16.9452,21.84221,-1.030343619,-0.273740895,9.502239
CHASE LAKE NATIONAL WILDLIFE REFUGE  ,109.8888,138.7231,1.442077,16.06531,1.179664,13.88781,-0.732154515,-0.449259487,8.944259
CHASSAHOWITZKA NATIONAL WILDLIFE REFUGE  ,18.73098,37.64091,25.14231,33.80315,35.84925,31.89268,-0.102867214,-0.118862017,4.73298
CHAUTAUQUA NATIONAL WILDLIFE REFUGE  ,87.73215,114.2249,5.349931,1.083654,11.69841,0.2339455,-0.877471103,-1.038294657,6.923118
CHERRY VALLEY NATIONAL WILDLIFE REFUGE  ,90.74493,119.8482,1.083654,1.083654,0.2339455,0.2339455,-0.871377233,-0.856571769,7.272116
CHICKASAW NATIONAL WILDLIFE REFUGE  ,53.18757,85.79148,46.59741,8.979398,19.93216,13.84894,-0.104336179,-0.45126976,10.86053
CHINCOTEAGUE NATIONAL WILDLIFE REFUGE  ,56.32583,95.89595,24.05358,9.278664,38.90514,21.12528,-0.374581835,-0.575012243,11.85824
CHOCTAW NATIONAL WILDLIFE REFUGE  ,32.11552,60.83411,64.86864,57.73116,13.67575,19.3005,0.315815805,0.191549843,7.286459
CIBOLA NATIONAL WILDLIFE REFUGE  ,24.62301,46.86527,8.740883,5.192709,11.3373,5.512058,-0.340513765,-0.527404473,3.325024
CLARENCE CANNON NATIONAL WILDLIFE REFUGE  ,78.85786,106.7361,6.933256,1.083654,10.62314,0.2339455,-0.781862105,-0.994626283,7.457007
CLARKS RIVER NATIONAL WILDLIFE REFUGE  ,60.47402,92.25954,29.03339,3.557816,29.96842,6.322062,-0.286512351,-0.59424536,9.601628
CLEAR LAKE NATIONAL WILDLIFE REFUGE  ,99.98235,141.7485,36.74248,90.48261,64.88478,25.53515,-0.19770059,0.503828463,11.41138
COACHELLA VALLEY NATIONAL WILDLIFE REFUGE  ,28.34691,56.7469,3.103383,17.91104,4.749974,10.2819,-0.523929922,-0.690396791,3.883482
COKEVILLE MEADOWS NATIONAL WILDLIFE REFUGE  ,120.5061,156.2422,33.5181,81.07314,39.56471,14.67807,-0.154040502,0.244124296,9.776629
COLD SPRINGS NATIONAL WILDLIFE REFUGE  ,83.42687,123.0231,20.34202,51.51249,16.03835,52.8015,-0.669519136,0.016177991,8.578473
