,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
CASTLE ROCK NATIONAL WILDLIFE REFUGE  ,32.09618,32.80482,33.01562,68.48407,68.54346,68.31937,0.9708738,3.225806,6.024096,20.38835,18.27957,9.638554
CAT ISLAND NATIONAL WILDLIFE REFUGE  ,27.58176,26.40258,27.6521,54.89112,53.09779,53.54338,66.01942,46.23656,56.62651,69.90291,58.06452,53.01205
CATAHOULA NATIONAL WILDLIFE REFUGE  ,31.38358,29.74287,30.90061,60.11642,57.67521,57.98325,76.69903,61.29032,65.06024,72.81553,62.36559,51.80723
CEDAR ISLAND NATIONAL WILDLIFE REFUGE  ,38.57295,36.37775,36.29958,72.26859,69.64435,69.15407,67.96117,56.98925,38.55422,59.2233,27.95699,9.638554
CEDAR KEYS NATIONAL WILDLIFE REFUGE  ,21.57316,20.94784,21.19204,43.32845,41.81187,42.16862,65.04854,39.78495,50.60241,71.84466,52.68817,45.78313
CEDAR POINT NATIONAL WILDLIFE REFUGE  ,91.67907,93.52508,93.0098,120.3018,122.7819,123.4568,1.941748,3.225806,1.204819,0.9708738,1.075269,1.204819
CHARLES M. RUSSELL NATIONAL WILDLIFE REFUGE  ,100.3237,101.8873,101.0489,135.2121,136.1495,135.1956,9.708738,19.35484,2.409639,26.21359,38.70968,16.86747
CHASE LAKE NATIONAL WILDLIFE REFUGE  ,107.0337,111.5603,111.0724,138.0398,139.4383,138.6913,0.9708738,2.150538,1.204819,12.62136,24.73118,10.84337
CHASSAHOWITZKA NATIONAL WILDLIFE REFUGE  ,19.07576,18.35025,18.76693,38.20615,37.12485,37.59173,46.60194,10.75269,18.07229,53.39806,21.50538,26.50602
CHAUTAUQUA NATIONAL WILDLIFE REFUGE  ,86.75846,88.6534,87.78458,111.7145,115.1555,115.8047,1.941748,12.90323,1.204819,0.9708738,1.075269,1.204819
CHERRY VALLEY NATIONAL WILDLIFE REFUGE  ,90.11545,91.02126,91.09808,118.7012,119.9458,120.8976,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
CHICKASAW NATIONAL WILDLIFE REFUGE  ,54.01476,52.88158,52.66638,85.09191,86.33729,85.94524,57.28155,45.16129,37.3494,10.67961,15.05376,1.204819
CHINCOTEAGUE NATIONAL WILDLIFE REFUGE  ,57.77007,55.54647,55.66094,96.26753,95.59126,95.82906,48.54369,13.97849,9.638554,22.3301,4.301075,1.204819
CHOCTAW NATIONAL WILDLIFE REFUGE  ,32.78637,31.35709,32.2031,62.20669,60.1128,60.18284,72.81553,59.13978,62.6506,69.90291,52.68817,50.60241
CIBOLA NATIONAL WILDLIFE REFUGE  ,24.72692,24.41737,24.72474,46.76387,46.6788,47.15314,14.56311,3.225806,8.433735,8.737864,3.225806,3.614458
CLARENCE CANNON NATIONAL WILDLIFE REFUGE  ,78.51668,79.15499,78.90192,104.7128,107.3738,108.1218,7.76699,11.82796,1.204819,0.9708738,1.075269,1.204819
CLARKS RIVER NATIONAL WILDLIFE REFUGE  ,61.64239,59.66976,60.10991,91.44682,92.6846,92.64719,45.63107,25.80645,15.66265,1.941748,7.526882,1.204819
CLEAR LAKE NATIONAL WILDLIFE REFUGE  ,102.6852,99.29705,97.9648,143.4162,141.9609,139.8684,75.72816,23.65591,10.84337,99.02913,98.92473,73.49398
